Date,Turnover_sum,Cost_sum,adds,drops,kept
2023-11-30,0.25,0.000375,25,25,75
2023-12-31,0.24,0.00035999999999999997,24,24,76
2024-01-31,0.17,0.000255,17,17,83
2024-02-29,0.18999999999999995,0.00028499999999999993,19,19,81
2024-03-31,0.14999999999999994,0.0002249999999999999,15,15,85
2024-04-30,0.18999999999999995,0.00028499999999999993,19,19,81
2024-05-31,0.22,0.00033,22,22,78
2024-06-30,0.22000000000000003,0.00033000000000000005,22,22,78
2024-07-31,0.18999999999999995,0.00028499999999999993,19,19,81
2024-08-31,0.31999999999999995,0.00047999999999999996,32,32,68
2024-09-30,0.26,0.00039000000000000005,26,26,74
2024-10-31,0.22999999999999998,0.000345,23,23,77
2024-11-30,0.30000000000000004,0.0004500000000000001,30,30,70
2024-12-31,0.20999999999999996,0.00031499999999999996,21,21,79
