date,momentum_tickers,qv_tickers
2009-01-30,^VIX;DLTR;VRTX;ODFL;AMGN;WMT;EW;ROST;AZO;HAS;WAB;AJG;NFLX;GILD;PSA;GIS;MCD;DRI;SHW;CHRW;WRB;PHM;WM;CHD;TSCO,
2009-02-27,DLTR;VRTX;NFLX;^VIX;EW;MCD;AZO;AMGN;GILD;GIS;STE;SJM;ORLY;HSY;ROST;LDOS;HAS;CHD;DRI;WM;WEC;MDLZ;TSCO;ABT;ED,
2009-03-31,^VIX;VRTX;DLTR;AZO;EW;ORLY;NFLX;AMGN;PCG;ROST;MCD;VTRS;AMZN;WMT;DGX;DVA;FFIV;GIS;TYL;GILD;GLD;HSY;LDOS;AON;BRO,
2009-04-30,^VIX;DLTR;AZO;EW;CNC;ORLY;ROST;NFLX;FFIV;VRTX;AMGN;SWKS;VTRS;DXCM;BMY;BRO;NEM;TYL;PCG;DRI;GLD;DGX;ED;BR;MCD,
2009-05-29,^VIX;NFLX;AZO;ORLY;DLTR;VRTX;FFIV;AMGN;MNST;ROL;ROST;EW;TYL;TSCO;CLX;MKTX;DRI;BR;SHW;IRM;DGX;AOS;BRO;AMZN;SWKS,
2009-06-30,ORLY;^VIX;MKTX;NFLX;DLTR;AZO;TSCO;DAL;ROL;MNST;EW;AMGN;ROST;FFIV;DRI;TYL;GLD;VRTX;DGX;MCD;AMZN;LII;BRO;NEM;VTRS,
2009-07-31,ORLY;NFLX;TSCO;MKTX;F;SJM;AZO;DAL;DLTR;REGN;ROL;ODFL;WBD;HSY;DGX;FFIV;TDG;LII;SHW;BRO;MNST;AMZN;IRM;CNC;DRI,
2009-08-31,F;NFLX;ORLY;WBD;MU;MNST;CMG;BLDR;FFIV;SBUX;SWKS;TSCO;FIS;DLTR;MTCH;ULTA;NVDA;TPR;KMX;KDP;ROST;CHRW;SHW;SJM;AMZN,
2009-09-30,MU;F;BKNG;WBD;VRTX;NFLX;^VIX;DLTR;ORLY;WDC;EXPE;SWKS;DXCM;MNST;GLD;CTSH;SBUX;TDG;JKHY;SW;ADM;TRV;ROST;NVDA;DRI,
2009-10-30,BKNG;WBD;SW;AAPL;CTSH;WDC;FFIV;CMG;MU;MKTX;EXPE;SWKS;JBL;F;KMX;ADM;ALGN;NFLX;NTAP;TDG;VTRS;NVDA;FCX;CF;SBUX,
2009-11-30,SW;F;BKNG;HIG;FCX;WSM;NFLX;ALGN;EXPE;STX;MKTX;WDC;AMZN;WBD;PODD;MS;CTSH;VTRS;NTAP;KMX;GS;AMP;CRM;LEN;FFIV,
2009-12-31,MU;FCX;SW;STX;HIG;DXCM;CBRE;AMD;BKNG;LVS;AMZN;EXPE;F;WDC;LULU;BLDR;SWKS;WSM;ULTA;ON;KMX;CI;PODD;TER;INCY,
2010-01-29,STX;AMD;F;MU;SW;LULU;WDC;CBRE;FCX;EXPE;DXCM;BKNG;KMX;BLDR;WSM;JBL;SWKS;ON;AMZN;NTAP;LVS;CTSH;INCY;TER;SBUX,
